142,Jhajjar,Haryana,N.A.
143,Jind,Haryana,N.A.
144,Kaithal,Haryana,N.A.
145,Karnal,Haryana,613.6
146,Kurukshetra,Haryana,N.A.
147,Mahendragarh,Haryana,827.5
148,Panchkula,Haryana,581.5
149,Panipat,Haryana,430.5
150,Rewari,Haryana,N.A.
151,Rohtak,Haryana,580.6
152,Sirsa,Haryana,343.5
153,Sonepat,Haryana,791.4
154,Yamunanagar,Haryana,865.6
155,Bilaspur,Himachal Pradesh,1298.7
156,Chamba,Himachal Pradesh,N.A.
157,Hamirpur,Himachal Pradesh,1418.7
158,Kangra,Himachal Pradesh,1805.3
159,Kinnaur,Himachal Pradesh,735.1
160,Kulu,Himachal Pradesh,1446
161,Mandi,Himachal Pradesh,1300.5
162,Simla,Himachal Pradesh,1237.6
163,Sirmur,Himachal Pradesh,1422.1
164,Solan,Himachal Pradesh,1492.1
165,Una,Himachal Pradesh,1471.5
166,Anantnag,Jammu and Kashmir,951.4
167,Badgam,Jammu and Kashmir,N.A.
168,Doda,Jammu and Kashmir,956.8
169,Jammu,Jammu and Kashmir,1123.1
170,Kathua,Jammu and Kashmir,1361.6
171,Kupwara,Jammu and Kashmir,983.2
172,Ladakh (Leh),Jammu and Kashmir,32.8
173,North Baramula,Jammu and Kashmir,1203.2
174,Pulwama,Jammu and Kashmir,467.2
175,Srinagar,Jammu and Kashmir,669.1
176,Udhampur,Jammu and Kashmir,1689.4
177,Bokaro,Jharkhand,N.A.
178,Dhanbad,Jharkhand,N.A.
179,East Singbhum,Jharkhand,1628.3
180,Giridih,Jharkhand,N.A.
181,Godda,Jharkhand,N.A.
182,Gumla,Jharkhand,N.A.
183,Hazaribagh,Jharkhand,N.A.
184,Koderma,Jharkhand,N.A.
185,Lohardaga,Jharkhand,N.A.
186,Pakur,Jharkhand,N.A.
187,Palamau,Jharkhand,1007.3
188,Ranchi,Jharkhand,1475
189,Sahebganj,Jharkhand,N.A.
190,Santhal Parganas,Jharkhand,N.A.
191,West Singbhum,Jharkhand,531.2
192,Bagalkote,Karnataka,516.9
193,Bangalore Rural,Karnataka,884.6
194,Bangalore Urban,Karnataka,1096.4
195,Belgam,Karnataka,801.3
196,Bellary,Karnataka,542.2
197,Bidar,Karnataka,974.2
198,Bijapur,Karnataka,550.8
199,Chamarajanagar,Karnataka,881.7
200,Chikmagalur,Karnataka,2182.4
201,Chitradurga,Karnataka,658.8
202,Dakshin Kannada,Karnataka,3440.9
203,Davangere,Karnataka,658.6
204,Dharwad,Karnataka,773.6
205,Gadag,Karnataka,733.8
206,Gulbarga,Karnataka,744
207,Hassan,Karnataka,1200.9
208,Haveri,Karnataka,732.4
209,Kodagu,Karnataka,2386.8
210,Kolar,Karnataka,886.1
211,Koppal,Karnataka,612.9
212,Mandya,Karnataka,691.2
213,Mysore,Karnataka,773
